Code,Sp,Loc,Sex,Mat,DW,DL,Wgt,Age
PLR98,M. mobular,Indonesia,M,N,62,32,2.3,NA
PLR67,M. thurstoni,Indonesia,F,NA,75,40,3,1
PLR2,M. thurstoni,Indonesia,F,NA,76,45,4,NA
CIL8,M. thurstoni,Indonesia,M,N,87,49,7.5,1
CIL5,M. thurstoni,Indonesia,F,NA,87,52,6,0.5
PLR68,M. thurstoni,Indonesia,M,N,87,46,7,2
PLR99,M. mobular,Indonesia,F,N,87,46,5,NA
CIL2,M. thurstoni,Indonesia,F,NA,88,50,6.5,0.5
CIL1,M. thurstoni,Indonesia,M,N,89,50,8.5,1
PLR48,M. thurstoni,Indonesia,M,N,89,49,6,1.875
PLR24,M. thurstoni,Indonesia,M,N,89.5,42,8,1
PLR3,M. thurstoni,Indonesia,M,N,90,59,10,0.5
CIL4,M. thurstoni,Indonesia,F,NA,91,53,12,0.5
PLR23,M. thurstoni,Indonesia,F,NA,91,53,10,1
PLR66,M. thurstoni,Indonesia,M,N,92,48,6,1
PLR70,M. thurstoni,Indonesia,M,N,94,46,8,1
PLR36,M. thurstoni,Indonesia,F,NA,94,49,12,0.5
PLR97,M. thurstoni,Indonesia,M,N,96,47,8.2,NA
PLR31,M. thurstoni,Indonesia,M,N,97,53,9,0.5
PLR44,M. thurstoni,Indonesia,F,NA,97,47,8,1
PLR20,M. thurstoni,Indonesia,M,N,98,50,11,0.5
PLR41,M. thurstoni,Indonesia,F,NA,98,53,12,1
PLR87,M. thurstoni,Indonesia,F,NA,98,57,12,1.875
PLR22,M. thurstoni,Indonesia,M,N,99,47,12,0.5
PLR25,M. thurstoni,Indonesia,M,N,99,51,7.5,1
PLR85,M. thurstoni,Indonesia,M,N,99,62,7,1.5
PLR34,M. thurstoni,Indonesia,F,NA,99,43,10,0.5
PLR64,M. thurstoni,Indonesia,F,NA,99,53,9,2
PLR51,M. thurstoni,Indonesia,M,N,100,50,9,1.25
PLR28,M. thurstoni,Indonesia,F,NA,100,56,8,1
PLR14,M. thurstoni,Indonesia,M,N,101,58,8,3
PLR27,M. thurstoni,Indonesia,F,NA,101,61,13,1
PLR59,M. thurstoni,Indonesia,F,NA,101,56,10,1
PLR37,M. thurstoni,Indonesia,M,N,102,52,10,1
PLR95,M. thurstoni,Indonesia,M,N,103,56,9.5,3.25
PLR93,M. thurstoni,Indonesia,F,NA,103,55,9,1
PLR94,M. thurstoni,Indonesia,F,NA,103,57,13.5,1
PLR21,M. thurstoni,Indonesia,F,NA,104,49,11,2.25
PLR13,M. thurstoni,Indonesia,M,N,104,61.7,9,1
PLR43,M. thurstoni,Indonesia,M,N,104,52,10,1
PLR65,M. thurstoni,Indonesia,F,NA,104,53,10,1
PLR42,M. thurstoni,Indonesia,M,N,105,55,11,1.75
PLR29,M. thurstoni,Indonesia,F,NA,106,58,10,1.875
PLR50,M. thurstoni,Indonesia,M,N,107,61,14,2
PLR69,M. thurstoni,Indonesia,F,NA,108,53,9,1
PLR73,M. thurstoni,Indonesia,F,NA,108,56,12,2
PLR35,M. thurstoni,Indonesia,F,N,109,59,11,1
PLR38,M. thurstoni,Indonesia,M,N,109,68,12,1.875
PLR45,M. thurstoni,Indonesia,M,N,109,56,11,1
PLR79,M. mobular,Indonesia,M,N,109,59,11,1
PLR96,M. thurstoni,Indonesia,M,N,110,60,12.5,1
PLR63,M. thurstoni,Indonesia,F,NA,110,58,10,1
PLR15,M. thurstoni,Indonesia,F,NA,110.5,69,10,2
PLR19,M. thurstoni,Indonesia,M,N,112,67.5,12,2.5
PLR86,M. mobular,Indonesia,F,NA,112,60,9,1.25
PLR1,M. mobular,Indonesia,M,N,113,63,12,1
PLR92,M. thurstoni,Indonesia,F,NA,113,67,12,1.125
PLR10,M. mobular,Indonesia,F,NA,115,67,13,1.5
PLR40,M. thurstoni,Indonesia,F,NA,116,70,15,2
PLR49,M. thurstoni,Indonesia,F,NA,117,66,16,2
KEN46,M. mobular,Kenya,F,NA,118,61,28,NA
PLR72,M. thurstoni,Indonesia,F,NA,118,59,14,1.625
KEN21,M. thurstoni,Kenya,F,NA,119,61,25,NA
PLR33,M. thurstoni,Indonesia,M,N,119,69,25,2.125
PAK37,M. mobular,Pakistan,M,N,120,65,13,NA
PLR71,M. thurstoni,Indonesia,M,N,120,60,15,4
PLR5,M. mobular,Indonesia,M,N,120.5,64,16,1
CIL14,M. mobular,Indonesia,F,N,121,70,16,1.25
PLR6,M. mobular,Indonesia,F,NA,121,69,14,1.5
KEN23,M. mobular,Kenya,M,N,124,61,30,NA
PLR100,M. mobular,Indonesia,M,N,124,59,16,NA
PLR89,M. thurstoni,Indonesia,F,NA,124,78,31,2.5
PAK21,M. mobular,Pakistan,F,N,124.4,59.6,14.2,1
PAK1,M. mobular,Pakistan,M,N,125,64,16,2.625
PLR76,M. mobular,Indonesia,M,N,125,63,15,1
PLR83,M. mobular,Indonesia,M,N,126,65,16,1
PAK32,M. mobular,Pakistan,M,N,127,60.9,15,NA
PLR84,M. mobular,Indonesia,F,NA,127,67,15,1.375
PAK25,M. mobular,Pakistan,M,N,129,59.6,13,3.25
PLR16,M. mobular,Indonesia,F,NA,129,72.5,15,3
KEN5,M. thurstoni,Kenya,M,N,130,56,NA,NA
PLR54,M. mobular,Indonesia,M,N,130,60,15,1.75
PAK8,M. mobular,Pakistan,M,N,132,71,15.5,1.25
PLR12,M. mobular,Indonesia,F,NA,132,68,20,1.5
PLR11,M. mobular,Indonesia,M,N,133,68,20,4.5
KEN19,M. thurstoni,Kenya,F,NA,135,70,30,NA
PLR30,M. mobular,Indonesia,M,N,136,70,20,2.125
KEN36,M. thurstoni,Kenya,F,NA,136,70,30,NA
CIL9,M. thurstoni,Indonesia,M,N,136,84,24,5.875
KEN2,M. thurstoni,Kenya,M,N,137,76,NA,NA
PLR4,M. mobular,Indonesia,F,NA,138,73,23,4
PLR39,M. mobular,Indonesia,M,N,140,69,23,3.875
KEN35,M. thurstoni,Kenya,M,N,140,72,32,NA
PLR62,M. mobular,Indonesia,F,NA,140,70,20,2.5
PLR8,M. mobular,Indonesia,M,N,140,75,25,3.5
PLR53,M. mobular,Indonesia,F,NA,141,69,20,1.75
PLR58,M. mobular,Indonesia,M,N,142,67,20,2.5
PAK20,M. mobular,Pakistan,F,N,142.2,69.8,20,2.5
CIL3,M. mobular,Indonesia,M,N,143,75,25,2
KEN52,M. thurstoni,Kenya,F,NA,143,77,40,NA
PLR91,M. mobular,Indonesia,F,NA,144,78,24,1.25
PAK19,M. mobular,Pakistan,M,N,145,67.3,21,2
PLR56,M. mobular,Indonesia,F,NA,146,69,24,2.375
PAK22,M. mobular,Pakistan,M,N,147.3,68.5,23,2.75
PAK29,M. mobular,Pakistan,F,N,147.3,69.8,23.5,1
PLR7,M. mobular,Indonesia,M,N,148,81,25,2.75
PLR61,M. mobular,Indonesia,F,NA,149,71,25,1.75
KEN16,M. mobular,Kenya,F,NA,150,85,25.9,NA
KEN38,M. mobular,Kenya,F,N,150,136,45,NA
KEN47,M. mobular,Kenya,F,NA,150,79,34,NA
KEN27,M. thurstoni,Kenya,F,NA,150,80,40,NA
KEN3,M. thurstoni,Kenya,F,NA,150,83,NA,NA
PLR26,M. mobular,Indonesia,F,N,151,74,26,4
KEN28,M. thurstoni,Kenya,F,NA,151,80,34.6,NA
PLR74,M. mobular,Indonesia,M,N,151,76,58,1.25
PLR60,M. mobular,Indonesia,M,N,152,76,23,2
PAK27,M. mobular,Pakistan,M,N,152.4,71.1,24.5,3.125
PAK31,M. mobular,Pakistan,F,N,152.4,68.5,22,2.875
KEN44,M. mobular,Kenya,F,NA,153,73,43,NA
PLR55,M. mobular,Indonesia,M,N,154,76,23,3.375
PAK4,M. mobular,Pakistan,M,N,155,100.5,48,2
PLR80,M. mobular,Indonesia,F,N,155,88,38,2
PLR90,M. mobular,Indonesia,F,NA,155,84,31,0.75
KEN9,M. thurstoni,Kenya,F,NA,156,86,NA,NA
PAK12,M. mobular,Pakistan,F,NA,157,86,26,1
PAK34,M. mobular,Pakistan,F,N,158,74,27,NA
PLR32,M. mobular,Indonesia,M,N,158,79,30,2.25
KEN17,M. thurstoni,Kenya,F,NA,158,86,50,NA
PLR52,M. thurstoni,Indonesia,M,N,159,81,34,5.25
PAK15,M. mobular,Pakistan,F,NA,160,88,31,1.25
PAK18,M. mobular,Pakistan,M,N,160,75,27,2.75
PAK36,M. mobular,Pakistan,F,N,160,71,31.5,NA
KEN1,M. thurstoni,Kenya,F,NA,160,86,NA,NA
KEN4,M. thurstoni,Kenya,F,NA,160,87,NA,NA
KEN8,M. thurstoni,Kenya,F,NA,162,87,NA,NA
PLR88,M. mobular,Indonesia,F,NA,162,90,47,1
PAK26,M. mobular,Pakistan,F,N,162.5,73.6,23,3.25
KEN6,M. mobular,Kenya,M,NA,163,93,NA,NA
KEN18,M. thurstoni,Kenya,F,NA,163,84,55,NA
PLR82,M. mobular,Indonesia,F,NA,163,82,13,2
KEN10,M. thurstoni,Kenya,F,NA,164,81,NA,NA
KEN29,M. thurstoni,Kenya,F,NA,164,89,65,NA
KEN13,M. thurstoni,Kenya,F,NA,165,89,NA,NA
KEN7,M. thurstoni,Kenya,F,NA,165,94,NA,NA
KEN24,M. thurstoni,Kenya,M,N,165,86,60,NA
KEN48,M. mobular,Kenya,M,N,166,81,40,NA
PAK5,M. mobular,Pakistan,M,N,169,90,40,2
PLR57,M. mobular,Indonesia,F,NA,169,79,37,5.5
KEN12,M. thurstoni,Kenya,M,Y,171,93,NA,NA
KEN15,M. thurstoni,Kenya,F,NA,172,90,NA,NA
PAK24,M. mobular,Pakistan,M,N,175,82,38,8.5
CIL6,M. thurstoni,Indonesia,M,Y,174,102,39,5.25
KEN34,M. mobular,Kenya,M,N,178,81,60,NA
KEN45,M. mobular,Kenya,F,NA,177,86,65,NA
PAK16,M. mobular,Pakistan,F,NA,177,85,39,7.5
PAK10,M. mobular,Pakistan,M,N,178,98,47,8
PLR17,M. mobular,Indonesia,M,N,179,92,27,4.25
PAK35,M. mobular,Pakistan,F,N,180,80,38,NA
PAK28,M. mobular,Pakistan,F,N,180.3,85,37.9,5.25
PAK6,M. mobular,Pakistan,F,N,181,98,50,4.5
PAK11,M. mobular,Pakistan,F,NA,181,102,53,4.75
PAK9,M. mobular,Pakistan,M,N,184,76,25,2.5
KEN31,M. thurstoni,Kenya,F,NA,182,87,75,NA
PAK7,M. mobular,Pakistan,F,N,188,109,52,5.5
KEN22,M. thurstoni,Kenya,M,NA,187,92,76,NA
KEN32,M. thurstoni,Kenya,M,N,187,107,75,NA
KEN26,M. mobular,Kenya,M,N,189,98,75,NA
KEN11,M. thurstoni,Kenya,F,NA,188,97,NA,NA
CIL15,M. mobular,Indonesia,M,Y,193,NA,75,7.75
KEN37,M. thurstoni,Kenya,F,NA,190,109,76,NA
PAK13,M. mobular,Pakistan,F,NA,193,101,36,6.5
CIL7,M. mobular,Indonesia,F,Y,194,110,63,14.5
KEN30,M. mobular,Kenya,M,N,195,93,80,NA
KEN40,M. mobular,Kenya,F,NA,196,150,85,NA
CIL10,M. mobular,Indonesia,M,Y,198,NA,81,6.75
CIL11,M. mobular,Indonesia,M,Y,203,NA,90,8.5
PLR75,M. mobular,Indonesia,M,N,207,100,69,12.5
PAK3,M. mobular,Pakistan,F,N,211.8,152.4,73,10.25
PLR78,M. mobular,Indonesia,M,Y,215,128,70,7.25
PLR77,M. mobular,Indonesia,F,Y,218,130,77,7.5
PAK2,M. mobular,Pakistan,F,Y,222,139,91,11.5
PLR47,M. mobular,Indonesia,M,Y,222,117,98,7.25
PLR81,M. mobular,Indonesia,F,NA,222,98,93,6.75
PLR18,M. mobular,Indonesia,F,NA,223.9,130.6,76,5.5
PAK23,M. mobular,Pakistan,M,Y,228.6,111.7,78,7.25
CIL12,M. mobular,Indonesia,M,Y,230,130,105,9
PAK30,M. mobular,Pakistan,F,Y,233.6,114.3,85,17.25
PAK17,M. mobular,Pakistan,F,Y,238.7,116,87,8.5
PAK14,M. mobular,Pakistan,F,Y,239,134,75,14
PAK33,M. mobular,Pakistan,M,Y,243.8,106.6,80,NA
KEN14,M. mobular,Kenya,M,Y,259,150,NA,NA
KEN39,M. mobular,Kenya,M,Y,260,183,130,NA
